video_id,view_count,like_count,comment_count,captured_at
WAMmdByMxIQ,2,0,0,2026-01-19T21:16:48.131900
TqG9LuO9KKA,2,0,0,2026-01-19T21:16:48.131906
QDEpRpnhiLQ,4,1,0,2026-01-19T21:16:48.131911
5jYY2XiN8E0,3,0,0,2026-01-19T21:16:48.131917
YjTil1z5LDM,1,1,1,2026-01-19T21:16:48.131924
4DT5IHn63m0,28,6,0,2026-01-19T21:16:48.131929
g2XFlXqljH8,9,4,4,2026-01-19T21:16:48.131936
iVTubO8S4r0,11,1,0,2026-01-19T21:16:48.131940
o_azCwqEt2A,4,1,0,2026-01-19T21:16:48.131946
T_R9T2m-FyU,8,0,0,2026-01-19T21:16:48.131951
fi5fm7bo8f4,5,3,0,2026-01-19T21:16:48.131958
qRkxgk-DNbE,5,0,0,2026-01-19T21:16:48.131964
szDBFG_x3og,19,1,0,2026-01-19T21:16:48.131968
CsJjh4FVteA,115,15,0,2026-01-19T21:16:52.215089
SPlCXMcUvCg,14,1,0,2026-01-19T21:16:52.215113
FXPe7bO6egk,17,4,0,2026-01-19T21:16:52.215120
7Yhex0IschQ,7,1,1,2026-01-19T21:16:52.215127
slflQC2-vPs,2185,200,26,2026-01-19T21:16:52.215134
jdcoGMGCY4g,0,0,0,2026-01-19T21:16:52.215140
jE_xEXYs2Yg,4,1,0,2026-01-19T21:16:52.215146
noXkMnF4ccQ,1,0,0,2026-01-19T21:16:52.215152
oFMgIShVSp8,2,1,0,2026-01-19T21:16:52.215157
TGLy0KOPDm8,19,4,1,2026-01-19T21:16:52.215163
z9FWNttIEhI,21,4,1,2026-01-19T21:16:52.215169
DtJt3siZZwk,2,0,0,2026-01-19T21:16:52.215175
NdTulggm4-8,2,1,0,2026-01-19T21:16:52.215183
VQd_SzHGYq4,4,0,0,2026-01-19T21:16:52.215189
qo-VcW22QFU,17,2,0,2026-01-19T21:16:52.215195
_zfN9wnPvU0,9338994,758607,37136,2026-01-19T21:16:52.215201
j31dmodZ-5c,6303372,201743,21056,2026-01-19T21:16:52.215207
AL9IvmIyJtg,3576760,54544,2918,2026-01-19T21:16:52.215212
CQrQrOPmszE,3317602,59835,18189,2026-01-19T21:16:52.215219
Fu5BBcRxZBE,3057965,106535,8141,2026-01-19T21:16:52.215227
h2l0Ns1Izt0,2894498,13113,1254,2026-01-19T21:16:52.215232
wv779vmyPVY,2302912,78990,1962,2026-01-19T21:16:52.215239
f3c4mQty_so,2155494,33126,5952,2026-01-19T21:16:52.215257
zkGk_A4noxI,2066686,70518,13671,2026-01-19T21:16:52.215262
zju51INmW7U,2066611,20948,8653,2026-01-19T21:16:52.215268
u-6PO_CvRQI,1959489,39479,2181,2026-01-19T21:16:52.215273
dthbi4lzO58,1950592,82151,19964,2026-01-19T21:16:52.215280
-7LdiDaV9Jk,1802047,22758,7445,2026-01-19T21:16:52.215286
eXdVDhOGqoE,1795497,32452,2750,2026-01-19T21:16:52.215292
2U6bJEFC97c,1772631,58552,7681,2026-01-19T21:16:52.215298
QX1Xwzm9yHY,1689604,61497,5212,2026-01-19T21:16:52.215303
-zoCpFfOH04,1685139,49397,5442,2026-01-19T21:16:52.215309
_8pxQv8b_1g,1625574,46304,3502,2026-01-19T21:16:52.215315
C4vUxUbU1oc,1621286,16804,4499,2026-01-19T21:16:52.215321
CbHeh7qwils,1618398,20168,5361,2026-01-19T21:16:52.215327
nFjO4CTpx54,1597578,50305,7592,2026-01-19T21:16:52.215333
VTRVUsK-pdc,1481938,27369,6163,2026-01-19T21:16:52.215340
RJGo6K3-gHg,1479640,43901,2068,2026-01-19T21:16:52.215346
RBmOgQi4Fr0,1342023,18140,809,2026-01-19T21:16:52.215352
T4Nl99I2DRk,1315400,15717,1467,2026-01-19T21:16:52.215358
KW067woSxws,1254172,20742,5253,2026-01-19T21:16:52.215364
e1Hf-o1SzL4,1246610,14426,2509,2026-01-19T21:16:52.215370
GJeFoEw9x0M,1211896,14335,5628,2026-01-19T21:16:52.215375
faZleWKpzFA,7,0,0,2026-01-19T21:16:52.215381
OsT0Jj8x0gE,0,0,0,2026-01-19T21:16:52.215387
DZ312Yiw_Bs,1,0,0,2026-01-19T21:16:52.215393
rdQy9rYw6a8,1,0,0,2026-01-19T21:16:52.215398
2AdfnhMmiiU,724,60,6,2026-01-19T21:16:52.215404
ERCpzoCr2NE,22,2,0,2026-01-19T21:16:52.215410
WfHhL41To9I,232,16,0,2026-01-19T21:16:52.215416
OadZls1XWps,523,24,3,2026-01-19T21:16:54.181606
ItsFlJ-oH1s,818,76,4,2026-01-19T21:16:54.181632
XljKPFiIQYI,3543,145,15,2026-01-19T21:16:54.181640
4kw3zBUM8hY,426,0,1,2026-01-19T21:16:54.181648
3-3KKBRG_c8,15064,151,17,2026-01-19T21:16:54.181654
kQu_3I2QEO4,1605,125,21,2026-01-19T21:16:54.181660
IBMt8w903Sw,1037,114,0,2026-01-19T21:16:54.181666
Samn2ywUQVk,344,33,14,2026-01-19T21:16:54.181673
W9psgzkftng,6,0,0,2026-01-19T21:16:54.181681
U6l3riZAP6o,765,28,12,2026-01-19T21:16:54.181689
2z85PD6jNAY,669,20,0,2026-01-19T21:16:54.181696
ApAk0vFOfmQ,197394,3243,301,2026-01-19T21:16:54.181703
KjqyNNwUbRg,1,0,0,2026-01-19T21:16:54.181709
4c6R_M28bHI,1391,62,27,2026-01-19T21:16:54.181715
DvR9Yhvk5Wg,1211,109,3,2026-01-19T21:16:54.181721
nim1ic-zZuc,3202,118,7,2026-01-19T21:16:54.181727
9LSS7hL2IEc,12305,585,32,2026-01-19T21:16:54.181734
Yx5HDNa_oN8,4969,163,41,2026-01-19T21:16:54.181741
8Hke1aiSNuI,5109,165,0,2026-01-19T21:16:54.181746
cNgtzrqZmTY,41174,480,234,2026-01-19T21:16:54.181753
zB-rItuDq8I,2,0,0,2026-01-19T21:16:54.181759
40mGpZir2dw,9706,329,90,2026-01-19T21:16:54.181764
7OkS978snsg,133882,3294,955,2026-01-19T21:16:54.181771
